Model,Brand,Power,Efficiency,Color,Price,Amazon URL,,
220-G6-0850-X1,EVGA,850 W,80+Gold,Black,176.99,https://www.amazon.com/dp/B099821FWG?tag=pcbuilder00-20,,
PS-SPD-0430NPCWUS-W,Thermaltake,450 W,80+,Black,27.99,https://www.amazon.com/dp/B07BFJ91TY?tag=pcbuilder00-20&th=1,,
PS-SPD-0500NPCWUS-W,Thermaltake,500 W,80+,Black,39.99,https://www.amazon.com/dp/B014W3EM2W?tag=pcbuilder00-20&th=1,,
RM750,Corsair,750 W,80+ Gold,Black,169,https://amazon.com/dp/B07RF237B1?tag=pcbuilder00-20,,
RM850,Corsair,850 W,80+ Gold,Black,195,https://amazon.com/dp/B07RCKG95L?tag=pcbuilder00-20,,
SMART 600,Thermaltake,600 W,80+,Black,42.99,https://www.amazon.com/dp/B014W3EMAO?tag=pcbuilder00-20,,
SPD-0700NP,Thermaltake,700 W,80+,Black,54.99,https://www.amazon.com/dp/B014W3EAX8?tag=pcbuilder00-20&th=1,,
SuperNOVA,EVGA,1000 W,80+Gold,Black,379.99,https://www.amazon.com/dp/B01LZ3SFB3?tag=pcbuilder00-20&th=1,,
SuperNOVA 1000 G6,EVGA,1000 W,80+Gold,Black,224.99,https://www.amazon.com/dp/B0997XYF3R?tag=pcbuilder00-20&th=1,,
SuperNOVA 750 G6,EVGA,750 W,80+Gold,Black,139.99,https://www.amazon.com/dp/B0998KZ8SP?tag=pcbuilder00-20,,
Toughpower GX1,Thermaltake,600 W,80+Gold,Black,59.99,https://www.amazon.com/dp/B07F9YFYLZ?tag=pcbuilder00-20,,
Toughpower PF1,Thermaltake,850 W,80+Platinum,Black,149.99,https://www.amazon.com/dp/B08BR8RQ3Y?tag=pcbuilder00-20&th=1,,
